Name;Percentage%;price;rating;ends in;started;release
Inscryption;-0.64%;28;0.95;In 10 days;4 days ago;Oct 2021
Metal Hellsinger;-0.5%;49;0.94;In 10 days;4 days ago;Sep 2022
Neddy Streamer Overload;-0.5%;15;0.93;In 10 days;14 days ago;Jan 2022
Octopath traveler II;-0.53%;202;0.93;In 10 days;4 days ago;Feb 2023
Ender Lilies: Quietus of the Knights;-0.5%;24;0.74;In 10 days;14 days ago;Jun 2021
Sonic Frontiers;-0.5%;124;0.5;in 10 days;4 days ago;Nov 2022
Ghostrunner;-0.7%;29;0.7;in 10 days;18 days ago;Oct 2020
LEGO Star Wars The Skywalker Saga;-0.67%;65;0.99;in 10 days;4 days ago;Apr 2022
Hatsune Miku Project DIVA Mega Mix;-0.5%;107;0.47;in 10 days;4 days ago;May 2022
Kena Bridge of Spirits;-0.6%;63;0.96;in 10 days;4 days ago;Sep 2022
Metro Exodus;-0.8%;11;0.2;in 10 days;4 days ago;Feb 2019
Tales of Arise;-0.6%;97;0;in 10 days;4 days ago;Sep 2021
Forza Horizon 5;-0.5%;124;0.5;in 10 days;18 days ago;Nov 2021
High On Life;-0.5%;54;0.99;in 10 days;4 days ago;Dec 2022
DiRT Rally 2.0;-0.8%;9;0.49;in 10 days;4 days ago;Feb 2019
AI THE SOMNIUM FILES nirvanA Initiative;-0.6%;72;0.8;in 10 days;4 days ago;Jun 2022
Songs of Conquest;-0.5%;28;0.99;in 10 days;4 days ago;May 2022
MONSTER HUNTER RISE;-0.6%;55;0.96;in 10 days;4 days ago;Jan 2022
Age of Empires IV Anniversary Edition;-0.5%;49;0.99;in 10 days;4 days ago;Oct 2021
Remnant From the Ashes;-0.65%;26;0.42;in 10 days;11 days ago;Aug 2019
Wasteland 3;-0.8%;15;0.09;in 10 days;4 days ago;Aug 2020
Sniper Ghost Warrior Contracts 2;-0.75%;32;0.47;in 10 days;4 days ago;Jun 2021
The Crew 2;-0.9%;14;0.99;in 10 days;4 days ago;Jun 2018
